#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",4.00,"01/07/2020",
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",4.60,"01/07/2018","30/06/2020"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",5.50,"01/07/2017","30/06/2018"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",4.00,"01/07/2012","30/06/2013"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",5.50,"01/07/2016","30/06/2017"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",6.50,"01/07/2015","30/06/2016"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",4.00,"03/07/2013","30/06/2015"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",3.50,"01/07/2013","02/07/2013"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",6.25,"01/11/2011","30/06/2012"
"0100","PRLC-BA (PROGRAMA DE RECUPERAÇÃO DA LAVOURA CACAUEIRA BAIANA)",4.00,"01/07/2012",
"0100","PRLC-BA (PROGRAMA DE RECUPERAÇÃO DA LAVOURA CACAUEIRA BAIANA)",4.00,"01/11/2011","30/06/2012"
"0110","PRODECER III - PROGRAMA DE COOPERAÇÃO NIPO-BRASILEIRA PARA O DESENVOLVIMENTO DOS CERRADOS",6.75,"01/11/2011",
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",7.00,"01/07/2020",
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",3.70,"01/01/2018","30/06/2020"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",3.70,"01/07/2017","31/12/2017"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",8.50,"01/07/2016","30/06/2017"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",10.50,"01/07/2015","30/06/2016"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",7.50,"01/07/2014","30/06/2015"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",6.50,"01/07/2013","30/06/2014"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",9.00,"15/01/2013","30/06/2013"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",6.75,"01/11/2011","15/01/2013"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",6.00,"01/07/2020",
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",8.00,"01/07/2019","30/06/2020"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",7.00,"01/07/2018","30/06/2019"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",7.50,"01/07/2017","30/06/2018"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",8.50,"06/07/2016","30/06/2017"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",9.50,"01/07/2016","05/07/2016"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",8.75,"01/07/2015","30/06/2016"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",6.50,"01/07/2014","30/06/2015"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",5.50,"01/07/2013","30/06/2014"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO",6.75,"01/11/2011","30/06/2013"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.00,"01/07/2020",
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.00,"01/07/2019","30/06/2020"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",7.00,"01/07/2018","30/06/2019"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.50,"01/07/2017","30/06/2018"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",9.50,"01/07/2016","30/06/2017"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.75,"01/07/2015","30/06/2016"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.50,"01/07/2014","30/06/2015"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",5.50,"01/07/2013","30/06/2014"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.75,"01/11/2011","30/06/2013"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",7.50,"01/07/2020",
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"01/07/2019","30/06/2020"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.50,"01/07/2018","30/06/2019"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"03/07/2017","30/06/2018"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",7.50,"01/07/2017","02/07/2017"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"01/07/2016","30/06/2017"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.00,"01/04/2015","30/06/2016"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",6.00,"01/07/2014","31/03/2015"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",5.50,"03/07/2013","30/06/2014"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",4.50,"01/07/2013","02/07/2013"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.50,"01/11/2011","30/06/2013"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",7.00,"01/07/2020",
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.00,"01/07/2019","30/06/2020"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",7.00,"01/07/2018","30/06/2019"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.50,"01/07/2017","30/06/2018"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",9.50,"01/07/2016","30/06/2017"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.75,"01/07/2015","30/06/2016"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.50,"01/07/2014","30/06/2015"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",5.50,"01/07/2012","30/06/2014"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.75,"01/11/2011","30/06/2012"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",6.00,"01/07/2020",
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",7.00,"01/07/2019","30/06/2020"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",6.00,"01/07/2018","30/06/2019"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",7.50,"01/07/2017","30/06/2018"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.50,"01/07/2016","30/06/2017"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.00,"01/07/2015","30/06/2016"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.00,"04/01/2014","30/06/2015"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",8.83,"02/01/2014","03/01/2014"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.00,"01/07/2012","01/01/2014"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA",5.50,"01/11/2011","30/06/2012"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",21.92,"01/12/2015",
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",21.96,"01/11/2015","30/11/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",22.79,"01/10/2015","31/10/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",18.33,"01/08/2015","30/09/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",18.21,"01/07/2015","31/07/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",17.87,"15/06/2015","30/06/2015"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO",10.00,"01/11/2011","12/06/2015"
"0158","PROCAP-CRED (PROGRAMA DE CAPITALIZAÇÃO DE COOPERATIVAS DE CRÉDITO)",4.00,"04/06/2012",
"0158","PROCAP-CRED (PROGRAMA DE CAPITALIZAÇÃO DE COOPERATIVAS DE CRÉDITO)",10.00,"01/11/2011","04/06/2012"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.00,"01/07/2020",
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.00,"01/07/2019","30/06/2020"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.00,"01/07/2018","30/06/2019"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.50,"01/07/2017","30/06/2018"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",4.50,"01/07/2013","30/06/2014"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",5.00,"01/07/2012","30/06/2013"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",8.50,"01/07/2016","30/06/2017"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.75,"01/07/2015","30/06/2016"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",5.50,"01/07/2014","30/06/2015"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.75,"01/11/2011","30/06/2012"
"0159","MODERMAQ - PROGRAMA DE MODERNIZAÇÃO DO PARQUE INDUSTRIAL NACIONAL",11.00,"01/01/2014",
"0159","MODERMAQ - PROGRAMA DE MODERNIZAÇÃO DO PARQUE INDUSTRIAL NACIONAL",0.00,"06/08/2004","31/12/2013"
"0200","PROCERA - PROGRAMA ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA",2.00,"01/01/2013",
"0200","PROCERA - PROGRAMA ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA",0.00,"01/01/1984","31/12/2012"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO",0.00,"01/01/1984",
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)",9.50,"01/01/2015",
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)",6.00,"01/07/2014","31/12/2014"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)",3.50,"01/07/2013","30/06/2014"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)",3.00,"15/01/2013","30/06/2013"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)",3.50,"14/01/2013","15/01/2013"
"0777","Linha de Crédito Rural instituída Res. 4.147/2012 e 4.260/2013 (Demais Agricultores)",8.50,"01/01/2013",
"0721","Linha de Crédito Rural instituída Res. 4.028/2011 (Dívidas Composição e Renegociação PRONAF)",2.00,"01/01/2013",
"0722","Linha de Crédito Rural instituída Res. 4.029/2011 (Renegociação Crédito Fundiário)",5.00,"01/01/2013",
"0779","Linha de Crédito Rural instituida pela Res. 4.161/2012 (Produtores de Arroz)",5.50,"01/01/2013",
"0730","Linha de Crédito Rural instituída Res. 4.083/2012 (Enchentes Reg Norte)",4.00,"01/01/2013",
"0783","Linha de Crédito Rural instituída pelas Res 4.189 e 4.212/2013-PRONAF (Estiagem Area Sudene)",4.00,"01/01/2013",
"0776","Linha de Crédito Rural instituida Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares)",4.00,"01/01/2013",
"0784","Linha de Credito Rural instituida Res. 4.188 e 4.211/2013-Demais Produtores (Estiagem Area Sudene)",5.50,"01/01/2013",
"0161","PRORENOVA-RURAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",15.00,"01/07/2018","31/12/2018"
"0161","PRORENOVA-RURAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",65.00,"01/07/2015","30/06/2016"
"0161","PRORENOVA-RURAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",5.50,"18/06/2013","30/06/2015"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.00,"01/07/2020",
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",7.00,"01/07/2019","30/06/2020"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.00,"01/07/2018","30/06/2019"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.50,"01/07/2017","30/06/2018"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",8.50,"01/07/2016","30/06/2017"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",7.50,"01/07/2015","30/06/2016"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",4.00,"01/07/2014","30/06/2015"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",3.50,"01/07/2013","30/06/2014"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.00,"01/07/2020",
"0163","PCA - Programa para Construção e Ampliação de Armazéns",7.00,"01/07/2019","30/06/2020"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.00,"01/07/2018","30/06/2019"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.50,"01/07/2017","30/06/2018"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",8.50,"01/07/2016","30/06/2017"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",7.50,"01/07/2015","30/06/2016"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",4.00,"01/07/2014","30/06/2015"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",3.50,"01/07/2013","30/06/2014"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (PNCF-FTRA)",4.00,"01/07/2020",
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (PNCF-FTRA)",2.50,"03/01/2020","30/06/2020"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (PNCF-FTRA)",2.00,"01/04/2013","02/01/2020"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (PNCF-FTRA)",2.00,"01/01/2013","30/03/2013"
"0735","Linha de Crédito Rural instituida pela Res. 4.126/2012 (Produtores de Maçã)",2.50,"01/01/2013",
"0785","Linha de Crédito Rural instituída pela Res. 4.220/2013 (Recursos BNDES-Estiagem Área da Sudene)",5.50,"02/05/2013",
"0164","PRORENOVA-INDUSTRIAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",65.00,"13/04/2017",
"0164","PRORENOVA-INDUSTRIAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",65.00,"01/07/2015","30/06/2016"
"0164","PRORENOVA-INDUSTRIAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS",5.50,"18/06/2013","30/06/2015"
"0165","PROAQÜICULTURA-PROGRAMA DE APOIO AO DESENVOLVIMENTO DO SETOR AQUÍCOLA",5.50,"01/01/2013",
"0888","Outras Linhas de Crédito Rural não Especificadas",8.50,"01/01/2014",
"0786","Linha de Crédito Rural Instituída pela Res. 4.289/2013 (Renegociação Café Arábica)",6.50,"25/11/2013",
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.75,"28/08/2020",
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",7.50,"03/07/2020","27/08/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.00,"01/07/2020","02/07/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",9.50,"01/07/2018","30/06/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",5.50,"01/07/2012","30/06/2013"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",11.25,"01/07/2016","30/06/2018"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",10.50,"01/07/2015","30/06/2016"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",7.50,"01/07/2014","30/06/2015"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.50,"01/07/2013","30/06/2014"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO",100.00,"02/07/2012","31/12/2099"
"0180","FNO-ABC (PROGRAMA DE FINANCIAMENTO À AGRICULTURA DE BAIXO CARBONO)",8.83,"01/01/2015",
