#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM,FINANCIAMENTO
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0100","PRLC-BA (PROGRAMA DE RECUPERAÇÃO DA LAVOURA CACAUEIRA BAIANA)","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0110","PRODECER III - PROGRAMA DE COOPERAÇÃO NIPO-BRASILEIRA PARA O DESENVOLVIMENTO DOS CERRADOS","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0152","MODERINFRA - PROGRAMA DE INCENTIVO À IRRIGAÇÃO E À PRODUÇÃO EM AMBIENTE PROTEGIDO","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0156","ABC - PROGRAMA PARA REDUÇÃO DA EMISSÃO DE GASES DE EFEITO ESTUFA NA AGROPECUÁRIA","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0157","PSI-RURAL - PROGRAMA DE SUSTENTAÇÃO DO INVESTIMENTO","01/11/2011","31/05/2016","Pode ser utilizado em financiamentos"
"0158","PROCAP-CRED (PROGRAMA DE CAPITALIZAÇÃO DE COOPERATIVAS DE CRÉDITO)","01/11/2011","05/04/2016","Pode ser utilizado em financiamentos"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0159","MODERMAQ - PROGRAMA DE MODERNIZAÇÃO DO PARQUE INDUSTRIAL NACIONAL","06/08/2004","30/06/2016","Pode ser utilizado em financiamentos"
"0200","PROCERA - PROGRAMA ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA","01/01/1984","31/12/2099","Pode ser utilizado em financiamentos"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO","01/01/1984","31/12/2099","Não pode ser utilizado em financiamentos"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745)","01/01/2013","31/12/2015","Pode ser utilizado em financiamentos"
"0777","Linha de Crédito Rural instituída Res. 4.147/2012 e 4.260/2013 (Demais Agricultores)","26/10/2012","31/12/2015","Pode ser utilizado em financiamentos"
"0721","Linha de Crédito Rural instituída Res. 4.028/2011 (Dívidas Composição e Renegociação PRONAF)","01/01/2013","15/10/2014","Pode ser utilizado em financiamentos"
"0722","Linha de Crédito Rural instituída Res. 4.029/2011 (Renegociação Crédito Fundiário)","01/01/2013","31/12/2013","Pode ser utilizado em financiamentos"
"0779","Linha de Crédito Rural instituida pela Res. 4.161/2012 (Produtores de Arroz)","01/01/2013","31/12/2013","Pode ser utilizado em financiamentos"
"0730","Linha de Crédito Rural instituída Res. 4.083/2012 (Enchentes Reg Norte)","01/01/2013","31/12/2013","Pode ser utilizado em financiamentos"
"0783","Linha de Crédito Rural instituída pelas Res 4.189 e 4.212/2013-PRONAF (Estiagem Area Sudene)","01/01/2013","31/12/2014","Pode ser utilizado em financiamentos"
"0776","Linha de Crédito Rural instituida Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares)","01/01/2013","31/12/2015","Pode ser utilizado em financiamentos"
"0784","Linha de Credito Rural instituida Res. 4.188 e 4.211/2013-Demais Produtores (Estiagem Area Sudene)","01/01/2013","31/12/2014","Pode ser utilizado em financiamentos"
"0161","PRORENOVA-RURAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS","18/06/2013","31/12/2018","Pode ser utilizado em financiamentos"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária","01/07/2013","31/12/2099","Pode ser utilizado em financiamentos"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","01/07/2013","31/12/2099","Pode ser utilizado em financiamentos"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (PNCF-FTRA)","01/01/2013","30/06/2021","Pode ser utilizado em financiamentos"
"0735","Linha de Crédito Rural instituida pela Res. 4.126/2012 (Produtores de Maçã)","01/01/2013","31/12/2013","Pode ser utilizado em financiamentos"
"0785","Linha de Crédito Rural instituída pela Res. 4.220/2013 (Recursos BNDES-Estiagem Área da Sudene)","02/05/2013","30/06/2014","Pode ser utilizado em financiamentos"
"0164","PRORENOVA-INDUSTRIAL- PROGRAMA DE APOIO À RENOVAÇÃO E IMPLANTAÇÃO DE NOVOS CANAVIAIS","18/06/2013","07/07/2017","Pode ser utilizado em financiamentos"
"0165","PROAQÜICULTURA-PROGRAMA DE APOIO AO DESENVOLVIMENTO DO SETOR AQUÍCOLA","01/07/2013","31/12/2099","Pode ser utilizado em financiamentos"
"0888","Outras Linhas de Crédito Rural não Especificadas","01/01/2014","31/01/2014","Pode ser utilizado em financiamentos"
"0786","Linha de Crédito Rural Instituída pela Res. 4.289/2013 (Renegociação Café Arábica)","25/11/2013","31/07/2014","Pode ser utilizado em financiamentos"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","02/07/2012","31/12/2099","Pode ser utilizado em financiamentos"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","02/07/2012","31/12/2099","Pode ser utilizado em financiamentos"
"0180","FNO-ABC (PROGRAMA DE FINANCIAMENTO À AGRICULTURA DE BAIXO CARBONO)","01/01/2015","30/06/2015","Pode ser utilizado em financiamentos"
