#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FONTE,DESCRICAO_FONTE
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0304","EXIGIBILIDADE ADICIONAL DA POUPANÇA RURAL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0202","EXIGIBILIDADE ADICIONAL DOS RECURSOS À VISTA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0505","BNDES/FINAME - EQUALIZÁVEL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0201","OBRIGATÓRIOS - MCR 6.2"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0100","TESOURO NACIONAL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0100","TESOURO NACIONAL"
"0110","PRODECER III - PROG COOP NIPO-BRASILEIRA P DESENV DOS CERRADOS - ENCERRADO","0100","TESOURO NACIONAL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0505","BNDES/FINAME - EQUALIZÁVEL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0505","BNDES/FINAME - EQUALIZÁVEL"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0505","BNDES/FINAME - EQUALIZÁVEL"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","0505","BNDES/FINAME - EQUALIZÁVEL"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","0505","BNDES/FINAME - EQUALIZÁVEL"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0505","BNDES/FINAME - EQUALIZÁVEL"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0201","OBRIGATÓRIOS - MCR 6.2"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO","0506","BNDES LIVRE"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0158","PROCAP-CRED (PROG CAPIT COOP CRÉDITO) ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0304","EXIGIBILIDADE ADICIONAL DA POUPANÇA RURAL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0202","EXIGIBILIDADE ADICIONAL DOS RECURSOS À VISTA"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0505","BNDES/FINAME - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0402","RECURSOS LIVRES"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0303","POUPANÇA RURAL - LIVRE"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0201","OBRIGATÓRIOS - MCR 6.2"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0159","MODERMAQ - PROG MOD PARQUE IND NACIONAL - ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0507","INCRA"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0100","TESOURO NACIONAL"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO","0900","ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO (MCR 16.8)"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO","0260","COMPULSÓRIO SOBRE RECURSOS À VISTA - REFORÇO DO INVESTIMENTO (CIRC 3.745)"
"0777","Linha Crédito Rural inst Res. 4.147/2012 e 4.260/2013 (Demais Agricultores) ENCERRADO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0777","Linha Crédito Rural inst Res. 4.147/2012 e 4.260/2013 (Demais Agricultores) ENCERRADO","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0776","Linha Crédito Rural Inst Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares) ENCERRADO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0776","Linha Crédito Rural Inst Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares) ENCERRADO","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO","0506","BNDES LIVRE"
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária","0505","BNDES/FINAME - EQUALIZÁVEL"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","0505","BNDES/FINAME - EQUALIZÁVEL"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0163","PCA - Programa para Construção e Ampliação de Armazéns","0201","OBRIGATÓRIOS - MCR 6.2"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO","0506","BNDES LIVRE"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0165","PROAQÜICULTURA-PROG APOIO DESENVSETOR AQUÍCOLA - ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0165","PROAQÜICULTURA-PROG APOIO DESENVSETOR AQUÍCOLA - ENCERRADO","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0888","Outras Linhas de Crédito Rural não Especificadas - ENCERRADO","0303","POUPANÇA RURAL - LIVRE"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)","0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0225","Exigibilidade Adicional dos Recursos à Vista - Resolução 5087"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0222","Exigibilidade Adicional dos Recursos à Vista - Resolução 5030"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0451","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - LIVRE"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0506","BNDES LIVRE"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0990","OUTRAS FONTES DE RECURSOS NÃO ESPECIFICADAS"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0402","RECURSOS LIVRES"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0303","POUPANÇA RURAL - LIVRE"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0201","OBRIGATÓRIOS - MCR 6.2"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0100","TESOURO NACIONAL"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0505","BNDES/FINAME - EQUALIZÁVEL"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0201","OBRIGATÓRIOS - MCR 6.2"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis","0403","RECURSOS LIVRES EQUALIZÁVEIS"
